,p,b,t,d,k,g,s,z,h,m,n,r,y,w,v,a,i,u,e,o,Q,:,N,_y,_x
p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
t,0,0,9,0,5,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k,0,0,7,0,18,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g,0,1,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s,0,0,3,0,4,0,14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
z,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h,0,0,14,0,7,0,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r,0,7,0,11,1,7,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
y,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
w,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,0,9,14,0,0,0,0,0
i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,12,0,1,0,0,0,0,0
u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,34,2,1,0,0,0,0,0
e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,40,4,0,0,0,0,0
o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,9,5,53,0,0,0,0,0
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
_y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
_x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
